big_image_name,big_image_num,big_image_path,big_image_shape,small_image_count,small_image_shapes,cilia_folder
"IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_3_original cropped.tif",3,"/group/jug/aman/Cilia_Datasets/W19 - 2025_Pkhd1 cells/CCDC92, Y-tub, Arl13b, DAPI/Pkhd1 KO/Cropped original image/IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_3_original cropped.tif","(675, 675, 1)",0,[],
"IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_4_original cropped.tif",4,"/group/jug/aman/Cilia_Datasets/W19 - 2025_Pkhd1 cells/CCDC92, Y-tub, Arl13b, DAPI/Pkhd1 KO/Cropped original image/IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_4_original cropped.tif","(675, 675, 1)",0,[],
"IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_7_original cropped.tif",7,"/group/jug/aman/Cilia_Datasets/W19 - 2025_Pkhd1 cells/CCDC92, Y-tub, Arl13b, DAPI/Pkhd1 KO/Cropped original image/IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_7_original cropped.tif","(675, 675, 1)",0,[],
"IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_5_original cropped.tif",5,"/group/jug/aman/Cilia_Datasets/W19 - 2025_Pkhd1 cells/CCDC92, Y-tub, Arl13b, DAPI/Pkhd1 KO/Cropped original image/IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_5_original cropped.tif","(675, 675, 1)",0,[],
"IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_1_original cropped.tif",1,"/group/jug/aman/Cilia_Datasets/W19 - 2025_Pkhd1 cells/CCDC92, Y-tub, Arl13b, DAPI/Pkhd1 KO/Cropped original image/IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_1_original cropped.tif","(675, 675, 1)",0,[],
"IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_8_original cropped.tif",8,"/group/jug/aman/Cilia_Datasets/W19 - 2025_Pkhd1 cells/CCDC92, Y-tub, Arl13b, DAPI/Pkhd1 KO/Cropped original image/IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_8_original cropped.tif","(675, 675, 1)",0,[],
"IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_6_original cropped.tif",6,"/group/jug/aman/Cilia_Datasets/W19 - 2025_Pkhd1 cells/CCDC92, Y-tub, Arl13b, DAPI/Pkhd1 KO/Cropped original image/IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_6_original cropped.tif","(675, 675, 1)",0,[],
"IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_2_original cropped.tif",2,"/group/jug/aman/Cilia_Datasets/W19 - 2025_Pkhd1 cells/CCDC92, Y-tub, Arl13b, DAPI/Pkhd1 KO/Cropped original image/IMCD3 Pkhd KO - CCDC92, ARL13B, Y-TUB, DAPI_2_original cropped.tif","(675, 675, 1)",0,[],
"IMCD3 Pkhd CTRL - CCDC92, ARL13B, Y-TUB, DAPI_2_original cropped.tif",2,"/group/jug/aman/Cilia_Datasets/W19 - 2025_Pkhd1 cells/CCDC92, Y-tub, Arl13b, DAPI/Pkhd1 CTRL/Cropped original image/IMCD3 Pkhd CTRL - CCDC92, ARL13B, Y-TUB, DAPI_2_original cropped.tif","(675, 675, 1)",0,[],
"IMCD3 Pkhd CTRL - CCDC92, ARL13B, Y-TUB, DAPI_6_original cropped.tif",6,"/group/jug/aman/Cilia_Datasets/W19 - 2025_Pkhd1 cells/CCDC92, Y-tub, Arl13b, DAPI/Pkhd1 CTRL/Cropped original image/IMCD3 Pkhd CTRL - CCDC92, ARL13B, Y-TUB, DAPI_6_original cropped.tif","(675, 675, 1)",0,[],
